================================================================================
TRAJECTORY LOG -- iter_220 consistency champion rule
Source JSON: champion_vc_rule_consistency.json
Seed: L_TROMINO_3bit at [(63, 63), (64, 63), (64, 64)]
Grid: 128x128, Steps: 500
Rule entries: 18

Rule dictionary:
    8 (0b0001000) -> 72
   24 (0b0011000) -> 88
   33 (0b0100001) -> 97
   37 (0b0100101) -> 101
   41 (0b0101001) -> 105
   42 (0b0101010) -> 106
   50 (0b0110010) -> 114
   56 (0b0111000) -> 120
   57 (0b0111001) -> 121
   68 (0b1000100) -> 4
   69 (0b1000101) -> 5
   70 (0b1000110) -> 6
   71 (0b1000111) -> 7
   76 (0b1001100) -> 12
   96 (0b1100000) -> 32
  118 (0b1110110) -> 54
  120 (0b1111000) -> 56
  124 (0b1111100) -> 60

================================================================================
STEP | CoM_row_raw | CoM_col_raw | CoM_row_unwrapped | CoM_col_unwrapped | Active | Displacement | Step Velocity
 222 |   63.666667 |   29.333333 |         63.666667 |        285.333333 |      3 |   222.000000 |      1.000000
 223 |   63.666667 |   30.333333 |         63.666667 |        286.333333 |      3 |   223.000000 |      1.000000
 224 |   63.666667 |   31.333333 |         63.666667 |        287.333333 |      3 |   224.000000 |      1.000000
 225 |   63.666667 |   32.333333 |         63.666667 |        288.333333 |      3 |   225.000000 |      1.000000
 226 |   63.666667 |   33.333333 |         63.666667 |        289.333333 |      3 |   226.000000 |      1.000000
 227 |   63.666667 |   34.333333 |         63.666667 |        290.333333 |      3 |   227.000000 |      1.000000
 228 |   63.666667 |   35.333333 |         63.666667 |        291.333333 |      3 |   228.000000 |      1.000000
 229 |   63.666667 |   36.333333 |         63.666667 |        292.333333 |      3 |   229.000000 |      1.000000
 230 |   63.666667 |   37.333333 |         63.666667 |        293.333333 |      3 |   230.000000 |      1.000000
 231 |   63.666667 |   38.333333 |         63.666667 |        294.333333 |      3 |   231.000000 |      1.000000
 232 |   63.666667 |   39.333333 |         63.666667 |        295.333333 |      3 |   232.000000 |      1.000000
 233 |   63.666667 |   40.333333 |         63.666667 |        296.333333 |      3 |   233.000000 |      1.000000
 234 |   63.666667 |   41.333333 |         63.666667 |        297.333333 |      3 |   234.000000 |      1.000000
 235 |   63.666667 |   42.333333 |         63.666667 |        298.333333 |      3 |   235.000000 |      1.000000
 236 |   63.666667 |   43.333333 |         63.666667 |        299.333333 |      3 |   236.000000 |      1.000000
 237 |   63.666667 |   44.333333 |         63.666667 |        300.333333 |      3 |   237.000000 |      1.000000
