step,com_x,com_y,bit_count
751,63.8462,85.7308,26
752,63.7727,81.0682,44
753,63.8148,83.7407,54
754,63.5789,68.7632,38
755,63.8148,83.7407,54
756,63.6111,70.8056,72
757,63.7333,78.5667,60
758,63.1053,38.6842,38
759,63.4000,57.4000,10
760,63.2727,49.3182,22
761,63.2000,44.7000,20
762,63.2778,49.6389,36
763,63.3333,53.1667,18
764,63.2609,48.5652,46
765,63.1538,41.7692,26
766,63.1852,43.7593,54
767,63.8333,84.9167,12
768,63.8000,82.8000,20
769,63.6000,70.1000,10
770,63.7273,78.1818,22
771,63.7500,79.6250,16
772,63.6875,75.6562,32
773,63.4000,57.4000,10
774,63.4545,60.8636,22
775,63.7143,77.3571,14
776,63.6154,71.0769,26
777,63.5000,63.7500,20
778,63.6364,72.4091,44
779,63.7273,78.1818,22
780,63.6800,75.1800,50
781,63.3333,53.1667,18
782,63.4211,58.7368,38
783,63.8000,82.8000,20
784,63.7222,77.8611,36
785,63.5455,66.6364,22
786,63.6800,75.1800,50
787,63.6875,75.6562,32
788,63.6111,70.8056,72
789,63.2000,44.7000,20
790,63.1500,41.5250,40
791,63.6250,71.6875,16
792,63.4286,59.2143,28
793,63.3846,56.4231,26
794,63.3810,56.1905,42
795,63.5714,68.2857,28
796,63.3929,56.9464,56
797,63.3125,51.8438,32
798,63.2667,48.9333,60
799,63.9333,91.2667,30
800,63.8947,88.8158,38
801,63.8000,82.8000,20
802,63.8125,83.5938,32
803,63.8947,88.8158,38
804,63.8148,83.7407,54
805,63.5000,63.7500,12
806,63.5000,63.7500,24
807,63.8000,82.8000,20
808,63.6875,75.6562,32
809,63.6154,71.0769,26
810,63.6800,75.1800,50
811,63.8125,83.5938,32
812,63.7333,78.5667,60
813,63.5000,63.7500,24
814,63.5000,63.7500,44
815,63.8947,88.8158,38
816,63.8148,83.7407,54
817,63.6875,75.6562,32
818,63.7333,78.5667,60
819,63.8148,83.7407,54
820,63.6111,70.8056,72
821,63.2000,44.7000,20
822,63.1053,38.6842,38
823,63.5000,63.7500,12
824,63.2000,44.7000,20
825,63.3846,56.4231,26
826,63.1875,43.9062,32
827,63.5000,63.7500,24
828,63.1053,38.6842,38
829,63.3125,51.8438,32
830,63.1852,43.7593,54
831,63.8889,88.4444,18
832,63.6000,70.1000,10
833,63.8000,82.8000,20
834,63.6667,74.3333,18
835,63.8462,85.7308,26
836,63.2857,50.1429,14
837,63.6250,71.6875,16
838,63.4545,60.8636,22
839,63.8000,82.8000,20
840,63.5000,63.7500,20
