step,CoM_x,CoM_y,bit_count,state_hash
434,63.666667,63.666667,3,44d3ed4deb4ac7b8
435,63.666667,64.000000,3,f067db67410ca6a5
436,63.333333,64.333333,3,418cf1275861566f
437,63.333333,64.000000,3,a2aed0ec9e5aa2d8
438,63.666667,63.666667,3,44d3ed4deb4ac7b8
439,63.666667,64.000000,3,f067db67410ca6a5
440,63.333333,64.333333,3,418cf1275861566f
441,63.333333,64.000000,3,a2aed0ec9e5aa2d8
442,63.666667,63.666667,3,44d3ed4deb4ac7b8
443,63.666667,64.000000,3,f067db67410ca6a5
444,63.333333,64.333333,3,418cf1275861566f
445,63.333333,64.000000,3,a2aed0ec9e5aa2d8
446,63.666667,63.666667,3,44d3ed4deb4ac7b8
447,63.666667,64.000000,3,f067db67410ca6a5
448,63.333333,64.333333,3,418cf1275861566f
449,63.333333,64.000000,3,a2aed0ec9e5aa2d8
450,63.666667,63.666667,3,44d3ed4deb4ac7b8
451,63.666667,64.000000,3,f067db67410ca6a5
452,63.333333,64.333333,3,418cf1275861566f
453,63.333333,64.000000,3,a2aed0ec9e5aa2d8
454,63.666667,63.666667,3,44d3ed4deb4ac7b8
455,63.666667,64.000000,3,f067db67410ca6a5
456,63.333333,64.333333,3,418cf1275861566f
457,63.333333,64.000000,3,a2aed0ec9e5aa2d8
458,63.666667,63.666667,3,44d3ed4deb4ac7b8
459,63.666667,64.000000,3,f067db67410ca6a5
460,63.333333,64.333333,3,418cf1275861566f
461,63.333333,64.000000,3,a2aed0ec9e5aa2d8
462,63.666667,63.666667,3,44d3ed4deb4ac7b8
463,63.666667,64.000000,3,f067db67410ca6a5
464,63.333333,64.333333,3,418cf1275861566f
465,63.333333,64.000000,3,a2aed0ec9e5aa2d8
466,63.666667,63.666667,3,44d3ed4deb4ac7b8
467,63.666667,64.000000,3,f067db67410ca6a5
468,63.333333,64.333333,3,418cf1275861566f
469,63.333333,64.000000,3,a2aed0ec9e5aa2d8
470,63.666667,63.666667,3,44d3ed4deb4ac7b8
471,63.666667,64.000000,3,f067db67410ca6a5
472,63.333333,64.333333,3,418cf1275861566f
473,63.333333,64.000000,3,a2aed0ec9e5aa2d8
474,63.666667,63.666667,3,44d3ed4deb4ac7b8
475,63.666667,64.000000,3,f067db67410ca6a5
476,63.333333,64.333333,3,418cf1275861566f
477,63.333333,64.000000,3,a2aed0ec9e5aa2d8
478,63.666667,63.666667,3,44d3ed4deb4ac7b8
479,63.666667,64.000000,3,f067db67410ca6a5
480,63.333333,64.333333,3,418cf1275861566f
481,63.333333,64.000000,3,a2aed0ec9e5aa2d8
482,63.666667,63.666667,3,44d3ed4deb4ac7b8
483,63.666667,64.000000,3,f067db67410ca6a5
484,63.333333,64.333333,3,418cf1275861566f
485,63.333333,64.000000,3,a2aed0ec9e5aa2d8
486,63.666667,63.666667,3,44d3ed4deb4ac7b8
487,63.666667,64.000000,3,f067db67410ca6a5
488,63.333333,64.333333,3,418cf1275861566f
489,63.333333,64.000000,3,a2aed0ec9e5aa2d8
490,63.666667,63.666667,3,44d3ed4deb4ac7b8
491,63.666667,64.000000,3,f067db67410ca6a5
492,63.333333,64.333333,3,418cf1275861566f
493,63.333333,64.000000,3,a2aed0ec9e5aa2d8
494,63.666667,63.666667,3,44d3ed4deb4ac7b8
495,63.666667,64.000000,3,f067db67410ca6a5
496,63.333333,64.333333,3,418cf1275861566f
497,63.333333,64.000000,3,a2aed0ec9e5aa2d8
498,63.666667,63.666667,3,44d3ed4deb4ac7b8
499,63.666667,64.000000,3,f067db67410ca6a5
500,63.333333,64.333333,3,418cf1275861566f
501,63.333333,64.000000,3,a2aed0ec9e5aa2d8
502,63.666667,63.666667,3,44d3ed4deb4ac7b8
503,63.666667,64.000000,3,f067db67410ca6a5
504,63.333333,64.333333,3,418cf1275861566f
505,63.333333,64.000000,3,a2aed0ec9e5aa2d8
506,63.666667,63.666667,3,44d3ed4deb4ac7b8
507,63.666667,64.000000,3,f067db67410ca6a5
508,63.333333,64.333333,3,418cf1275861566f
509,63.333333,64.000000,3,a2aed0ec9e5aa2d8
510,63.666667,63.666667,3,44d3ed4deb4ac7b8
511,63.666667,64.000000,3,f067db67410ca6a5
512,63.333333,64.333333,3,418cf1275861566f
513,63.333333,64.000000,3,a2aed0ec9e5aa2d8
514,63.666667,63.666667,3,44d3ed4deb4ac7b8
515,63.666667,64.000000,3,f067db67410ca6a5
516,63.333333,64.333333,3,418cf1275861566f
517,63.333333,64.000000,3,a2aed0ec9e5aa2d8
