step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size,g3_x,g3_y,g3_z,g3_dist_bary,g3_clust_size
94,16,ok,34.821,18.839,42.327,12.4063,10.2590,18.3024,39.500,23.500,39.167,7.3213,6,31.000,12.000,47.000,9.1221,1,39.286,15.857,31.143,12.4063,7,29.500,24.000,52.000,12.1865,2
95,16,ok,34.935,18.298,43.095,12.5293,10.5284,18.5472,39.667,23.333,39.667,7.7141,6,39.571,15.857,31.714,12.5293,7,31.000,11.000,48.000,9.6329,1,29.500,23.000,53.000,12.2373,2
96,16,ok,35.625,18.946,43.827,12.7573,10.4766,17.6543,32.000,12.000,49.000,9.3888,1,40.000,23.500,40.167,7.2991,6,40.000,16.286,32.143,12.7573,7,30.500,24.000,54.000,12.4614,2
97,16,ok,37.979,18.646,39.854,15.1830,9.3278,16.4114,31.000,19.000,53.333,15.1830,3,40.250,18.250,32.750,7.4688,4,40.333,23.667,40.667,5.6046,6,40.333,13.667,32.667,9.0551,3
98,16,ok,36.321,18.000,38.500,14.2577,10.3469,17.4531,39.000,24.143,42.857,7.9934,7,33.000,20.000,27.000,12.1360,1,40.286,15.857,33.143,7.0005,7,33.000,12.000,51.000,14.2577,1
99,16,ok,35.823,19.396,45.167,13.1294,11.1255,18.1440,39.625,16.250,33.000,13.1294,8,40.667,23.333,41.667,7.1565,6,30.000,27.000,54.000,13.0291,1,33.000,11.000,52.000,11.1872,1
100,16,ok,37.125,18.946,46.827,13.5275,11.0046,17.9776,41.000,23.500,42.167,7.5811,6,34.000,12.000,53.000,9.8041,1,32.500,24.000,58.000,13.1056,2,41.000,16.286,34.143,13.5275,7
101,16,ok,37.280,18.488,47.595,13.6681,11.3587,18.5113,41.286,16.286,34.714,13.6681,7,41.333,23.667,42.667,8.2183,6,34.000,11.000,54.000,10.3851,1,32.500,23.000,59.000,13.1633,2
102,16,ok,37.821,18.839,48.327,13.9544,11.3146,17.7349,41.500,23.500,43.167,7.8668,6,41.286,15.857,35.143,13.9544,7,33.500,24.000,60.000,13.4743,2,35.000,12.000,55.000,9.9629,1
103,16,ok,39.396,20.479,44.896,13.5447,8.0954,16.8696,41.667,21.333,43.667,2.7198,3,40.750,16.250,35.250,10.6189,8,41.667,25.333,43.667,5.4982,3,33.500,19.000,57.000,13.5447,2
104,16,ok,38.062,20.062,48.979,14.0051,11.6045,18.2468,42.000,23.500,44.167,7.1050,6,36.000,12.000,57.000,11.5582,1,33.000,28.000,59.000,13.7495,1,41.250,16.750,35.750,14.0051,8
105,16,ok,39.958,18.979,44.104,15.8644,9.5944,16.9877,42.333,23.667,44.667,5.2849,6,40.750,19.000,35.750,8.3916,4,34.500,19.000,59.000,15.8644,2,42.250,14.250,37.000,8.8366,4
106,16,ok,39.321,18.839,43.327,17.2568,10.9225,18.8112,35.500,24.000,32.000,13.0210,2,42.500,23.500,45.167,5.9337,6,42.286,15.857,37.143,7.4785,7,37.000,12.000,59.000,17.2568,1
107,16,ok,38.885,19.396,35.292,11.7236,9.5863,19.7400,42.667,23.333,45.667,11.7236,6,41.875,16.250,37.500,4.8694,8,37.000,11.000,28.000,11.2789,1,34.000,27.000,30.000,10.4734,1
108,16,ok,39.594,20.062,36.042,11.2221,9.3145,19.4236,42.375,16.750,38.000,4.7480,8,43.000,23.500,46.167,11.2221,6,35.000,28.000,31.000,10.4654,1,38.000,12.000,29.000,10.8226,1
109,16,ok,42.388,20.738,41.800,8.4935,6.5795,15.6697,42.200,13.600,37.200,8.4935,5,43.500,26.500,46.000,7.2169,2,40.600,20.600,37.000,5.1239,5,43.250,22.250,47.000,5.4838,4
110,16,ok,40.312,19.969,37.573,10.7084,8.9828,20.0797,42.750,16.375,39.125,4.6114,8,43.500,23.500,47.167,10.7084,6,39.000,12.000,31.000,10.4128,1,36.000,28.000,33.000,10.1985,1
111,16,ok,41.192,20.321,39.754,10.2311,7.3857,16.1051,42.500,12.750,37.750,7.9401,4,43.667,23.333,47.667,8.8209,6,36.000,27.000,34.000,10.2311,1,42.600,18.200,39.600,2.5505,5
112,16,ok,41.737,20.775,40.392,10.1840,7.3865,16.3420,44.000,23.500,48.167,8.5437,6,43.200,18.600,40.400,2.6210,5,37.000,28.000,35.000,10.1840,1,42.750,13.000,38.000,8.1973,4
113,16,ok,42.243,22.938,43.222,9.8058,7.5231,15.6245,43.222,16.000,39.889,7.7588,9,44.250,22.250,49.000,6.1549,4,44.500,26.500,48.000,6.3728,2,37.000,27.000,36.000,9.8058,1
114,16,ok,41.594,21.719,41.885,8.7313,6.5463,14.5096,43.875,15.375,40.375,6.9086,8,44.500,23.500,49.167,8.0396,6,38.000,28.000,37.000,8.7313,1,40.000,20.000,41.000,2.5056,1
115,16,ok,43.115,21.354,44.958,7.3451,6.4560,13.3071,44.125,15.250,41.000,7.3451,8,44.667,21.333,49.667,4.9576,3,39.000,23.500,39.500,7.1643,2,44.667,25.333,49.667,6.3570,3
116,16,ok,43.750,17.250,42.667,9.8425,6.2425,17.7373,43.333,20.167,41.833,3.0619,6,45.000,23.500,50.167,9.8425,6,42.000,12.000,37.000,7.9206,1,44.667,13.333,41.667,4.1449,3
117,16,ok,44.235,21.438,46.167,7.6935,6.1393,14.0237,44.857,15.000,42.000,7.6935,7,45.250,22.250,51.000,5.0051,4,45.500,26.500,50.000,6.4748,2,41.333,22.000,41.667,5.3839,3
118,16,ok,44.125,21.281,46.656,7.2042,5.9769,12.9192,45.500,24.750,51.500,6.1143,4,45.000,15.375,42.625,7.2042,8,40.500,24.000,42.000,6.4971,2,45.500,21.000,50.500,4.0920,2
