step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size
134,12,ok,49.383,18.622,51.200,7.4301,4.9983,13.5033,49.400,17.200,51.600,1.4775,5,49.000,12.667,50.000,6.0873,3,49.750,26.000,52.000,7.4301,4
135,12,ok,49.667,18.917,51.917,7.1894,4.7938,13.1909,49.250,13.000,51.000,6.0017,4,50.250,26.000,53.000,7.1894,4,49.500,17.750,51.750,1.1902,4
136,12,ok,50.083,19.000,52.667,7.1570,4.7974,13.6152,49.250,12.750,51.250,6.4625,4,50.750,26.000,54.000,7.1570,4,50.250,18.250,52.750,0.7728,4
137,12,ok,50.461,19.533,53.244,6.7470,4.6133,12.7524,49.800,13.600,52.400,6.0295,5,51.250,26.000,55.000,6.7470,4,50.333,19.000,52.333,1.0634,3
138,12,ok,51.250,22.500,55.000,7.3485,5.4232,12.0649,51.000,26.000,53.500,3.8161,2,52.500,26.000,58.500,5.1051,2,50.250,15.500,53.000,7.3485,8
139,12,ok,51.000,18.917,54.583,7.5879,5.0923,13.7477,50.500,17.750,53.750,1.5184,4,50.250,13.000,53.000,6.1706,4,52.250,26.000,57.000,7.5879,4
140,12,ok,51.417,19.000,55.333,7.6085,5.0879,14.2960,52.750,26.000,58.000,7.6085,4,51.250,18.250,54.750,0.9647,4,50.250,12.750,53.250,6.6906,4
141,12,ok,51.794,19.533,55.911,7.3128,5.0813,13.4507,51.333,19.000,54.333,1.7281,3,53.250,26.000,59.000,7.3128,4,50.800,13.600,54.400,6.2030,5
142,12,ok,52.917,22.500,58.333,7.9303,5.7321,13.3065,51.250,15.500,55.000,7.9303,8,53.000,26.000,57.500,3.5988,2,54.500,26.000,62.500,5.6673,2
143,12,ok,53.458,22.014,49.125,15.0860,12.0933,12.7249,51.375,15.375,55.375,9.3529,8,55.000,24.000,32.000,15.0860,1,54.000,26.667,60.000,11.8409,3
144,12,ok,53.516,21.619,49.008,16.2214,11.9876,14.6012,51.714,14.857,55.857,9.7919,7,55.500,26.000,32.500,16.2214,2,53.333,24.000,58.667,9.9495,3
