step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size,g3_x,g3_y,g3_z,g3_dist_bary,g3_clust_size
98,16,ok,32.500,19.250,53.750,7.6322,5.9521,15.2643,32.500,12.750,49.750,7.6322,4,32.500,20.750,57.750,4.2720,4,32.500,17.750,49.750,4.2720,4,32.500,25.750,57.750,7.6322,4
99,16,ok,33.250,19.750,54.750,7.6322,5.9521,15.2643,33.250,26.250,58.750,7.6322,4,33.250,18.250,50.750,4.2720,4,33.250,21.250,58.750,4.2720,4,33.250,13.250,50.750,7.6322,4
100,16,ok,33.417,22.083,57.792,9.1216,5.1646,14.3658,33.500,15.250,51.750,9.1216,8,33.500,20.750,59.750,2.3706,4,33.667,25.333,59.667,3.7604,3,33.000,27.000,60.000,5.4059,1
101,16,ok,34.250,19.750,56.750,7.6322,5.9521,15.2643,34.250,18.250,52.750,4.2720,4,34.250,26.250,60.750,7.6322,4,34.250,21.250,60.750,4.2720,4,34.250,13.250,52.750,7.6322,4
102,16,ok,34.500,20.625,59.750,8.0555,4.3971,13.2004,34.500,21.000,62.500,2.7755,2,34.500,15.250,53.750,8.0555,8,34.500,20.500,61.000,1.2562,2,34.500,25.750,61.750,5.5014,4
103,16,ok,35.229,21.562,52.854,11.1484,9.4201,13.5675,35.333,22.000,62.333,9.4898,3,35.000,21.500,32.000,11.1484,2,35.250,15.750,54.750,6.1139,8,35.333,27.000,62.333,10.9285,3
104,16,ok,35.500,19.250,51.750,13.4397,9.3006,13.8609,35.500,12.750,55.750,7.6322,4,35.500,23.500,32.500,13.4397,4,35.500,23.000,63.000,11.8585,4,35.500,17.750,55.750,4.2720,4
105,16,ok,36.258,20.075,44.708,13.8009,12.7375,14.6652,36.250,26.250,32.750,13.4585,4,36.333,19.000,56.333,11.6748,3,36.200,13.800,57.000,13.8009,5,36.250,21.250,32.750,12.0159,4
106,16,ok,36.500,19.250,45.750,13.6473,12.8704,15.2643,36.500,17.750,57.750,12.0934,4,36.500,25.750,33.750,13.6473,4,36.500,20.750,33.750,12.0934,4,36.500,12.750,57.750,13.6473,4
107,16,ok,37.258,20.075,46.708,13.8009,12.7375,14.6652,37.250,26.250,34.750,13.4585,4,37.333,19.000,58.333,11.6748,3,37.250,21.250,34.750,12.0159,4,37.200,13.800,59.000,13.8009,5
108,16,ok,37.500,19.250,47.750,13.6473,12.8704,15.2643,37.500,25.750,35.750,13.6473,4,37.500,12.750,59.750,13.6473,4,37.500,17.750,59.750,12.0934,4,37.500,20.750,35.750,12.0934,4
109,16,ok,38.258,20.075,48.708,13.8009,12.7375,14.6652,38.250,21.250,36.750,12.0159,4,38.333,19.000,60.333,11.6748,3,38.250,26.250,36.750,13.4585,4,38.200,13.800,61.000,13.8009,5
110,16,ok,38.500,19.250,49.750,13.6473,12.8704,15.2643,38.500,20.750,37.750,12.0934,4,38.500,17.750,61.750,12.0934,4,38.500,25.750,37.750,13.6473,4,38.500,12.750,61.750,13.6473,4
111,16,ok,39.229,17.562,48.854,15.6829,13.7574,12.8806,39.000,13.500,32.000,15.6829,2,39.333,19.000,62.333,13.5560,3,39.333,14.000,62.333,13.9424,3,39.250,23.750,38.750,11.8482,8
112,16,ok,39.500,17.188,49.562,15.0325,13.5599,13.8609,39.500,23.250,39.750,11.5343,8,39.500,12.500,63.000,14.2316,2,39.500,17.500,63.000,13.4411,2,39.500,15.500,32.500,15.0325,4
113,16,ok,40.250,19.750,36.750,7.6322,5.9521,15.2643,40.250,18.250,32.750,4.2720,4,40.250,26.250,40.750,7.6322,4,40.250,13.250,32.750,7.6322,4,40.250,21.250,40.750,4.2720,4
114,16,ok,40.500,19.250,37.750,7.6322,5.9521,15.2643,40.500,20.750,41.750,4.2720,4,40.500,17.750,33.750,4.2720,4,40.500,25.750,41.750,7.6322,4,40.500,12.750,33.750,7.6322,4
115,16,ok,41.267,20.400,38.667,7.5504,6.0524,15.1008,41.200,13.800,35.000,7.5504,5,41.333,27.000,42.333,7.5504,3,41.200,21.800,43.000,4.5544,5,41.333,19.000,34.333,4.5544,3
116,16,ok,41.417,20.833,41.792,8.2269,4.5021,13.2004,41.500,15.250,35.750,8.2269,8,41.500,25.750,43.750,5.2930,4,41.667,20.333,43.667,1.9566,3,41.000,22.000,44.000,2.5321,1
117,16,ok,42.208,20.750,42.958,7.9715,4.7835,13.2004,42.250,15.750,36.750,7.9715,8,42.250,26.250,44.750,5.7846,4,42.333,22.000,44.333,1.8625,3,42.000,19.000,46.000,3.5153,1
118,16,ok,42.500,19.250,41.750,7.6322,5.9521,15.2643,42.500,25.750,45.750,7.6322,4,42.500,17.750,37.750,4.2720,4,42.500,12.750,37.750,7.6322,4,42.500,20.750,45.750,4.2720,4
